frame_index,sharpness
0,8.798778814521778
1,17.059081546740483
2,14.592912567222339
3,16.977400768787245
4,14.64586299166
5,14.337676745039806
6,13.813601465578433
7,8.071130159974066
8,12.402184968155465
9,13.857232831308648
10,13.664137731109372
11,12.809257931252018
12,13.897371592559592
13,13.185441260591475
14,12.362591024039181
15,12.006706328620076
16,10.895123455910495
17,12.45502133948626
18,12.392677589434165
19,9.52075110835875
20,12.3739768975131
21,11.865191330796074
22,9.804612267192823
23,12.402884714649211
24,13.568311751591962
25,11.397843957687895
26,15.360279824992698
27,17.898857903505256
28,19.334334971737437
29,22.615167795503034
30,22.54170451176019
31,23.874367874113986
32,25.549459874998437
33,24.85406960381366
34,25.903449434376025
35,24.08395266668687
36,28.730608361360048
37,27.302944757754744
38,27.675812592367595
39,26.789970455724223
40,27.86988691160885
41,31.78193684895832
42,27.947279004325907
43,30.147777414022045
44,26.386143643092197
45,24.498242910866544
46,26.410354455050978
47,19.13129617475797
48,17.657143854890045
49,20.760524810773557
50,19.583922887462634
51,17.882385218427473
52,17.711428794200334
53,16.54401849415642
54,19.833801469183804
55,18.705302975134074
56,18.901413965383714
57,20.465857687112102
58,20.490784505181455
59,19.74020482715314
60,19.437227283412316
61,19.551862219602427
62,21.74875699100916
63,18.41782467146402
64,21.187416688947483
65,23.925016999359883
66,23.466084586666625
67,29.98832608194908
68,30.81983555116169
69,28.650752312759842
70,31.356915260928687
71,29.75804192819895
72,32.3684203745356
73,34.130147206853415
74,32.24803817884355
75,36.180722163045516
76,31.383867282312746
77,29.122186998723777
78,20.878620133424803
79,18.281245528081023
80,13.199630110539406
81,6.115902874488856
82,30.84193299056617
83,25.5336820015724
84,30.68738232730347
85,29.6619341951964
86,29.188093894673077
87,31.085472969299357
88,18.951961681712714
89,24.598046384395335
90,28.53191683321025
91,26.428917100158607
92,33.27253556477726
93,28.859612867657262
94,29.689172929701645
95,29.216628322656554
96,33.1734681191103
97,29.058191068672315
98,26.116759493425274
99,27.697799455648457
100,27.122786562779506
101,33.326766117997714
102,29.788904304096178
103,28.925401950454127
104,34.5292504448281
105,28.821634955050495
106,31.222540388683765
107,31.02395592203976
108,33.78472005174751
109,30.07534649858159
110,27.68502616075079
111,31.812894000726022
112,30.771133531641077
113,29.52387019410925
114,30.931307623327243
115,25.136738158936524
116,25.243242667992778
117,21.915155044264722
118,29.662000144487024
119,31.205111038699876
120,30.14243814568607
121,30.326299067315052
122,29.264767312425256
123,34.13314103462614
124,29.801843893796296
125,26.202438873577055
126,21.174238160167505
127,31.219685205850467
128,9.976459538868314
129,26.76240377836636
130,27.700676572834332
131,30.79307146785244
132,23.827594279510855
133,27.922479262057646
134,28.563957849628792
135,24.426696083941614
136,24.799026933769625
137,25.241095286887962
138,26.96716663313464
139,29.614707374673905
140,27.11379049948559
141,28.743030217911357
142,30.586444821718118
143,29.152727742596035
144,29.238788453021595
145,29.28040363739338
146,33.098771697870376
147,29.84808931192829
148,36.025771724698814
149,37.68366981149297
150,27.464758778345704
151,25.46309485824432
152,29.314915966541385
153,29.969730407844555
154,26.94788590915785
155,28.189762361680724
156,23.926215398286963
157,22.002661914938457
158,23.524356312082045
159,21.112976104146757
160,19.52230420482684
161,19.269518831803932
162,18.627153610387506
163,18.934764900967085
164,20.56726188750368
165,21.296242764503575
166,20.276119030422112
167,19.151998437365812
168,20.838525263653086
169,18.535163961193305
170,16.163559741383736
171,19.04027138256879
172,16.7828957967299
173,19.280605459071445
174,16.72697771944686
175,20.350066911714524
176,19.97602911999718
177,20.11550912294414
178,26.471698966058078
179,29.5314703626965
180,30.869628372622632
181,33.96321457000426
182,34.04978875808466
183,41.76421415068649
184,37.49903813248623
185,37.287214361608186
186,38.01657768421142
187,40.40340169258263
188,34.59932628908929
189,37.826875240509715
190,34.69035227492823
191,38.929485304567926
192,27.270720120103892
